satellite_number,alt_km,size_range,days,err_km
163,3444.04539138863,25-50cm,29.93918071759244,1718.389577702849
3164,887.8610658374719,5-10cm,0.07713401620310766,1.6706760666868499
3164,887.8610658374719,5-10cm,0.1513031018525362,2.9428232083274724
3164,887.8610658374719,5-10cm,0.3644837847214054,7.321487058657284
3164,887.8610658374719,5-10cm,1.0001429513897058,42.73007524244276
3164,887.8610658374719,5-10cm,1.0772042476854942,49.17927563674843
3164,887.8610658374719,5-10cm,1.151244270834658,55.133403779933026
3164,887.8610658374719,5-10cm,1.3006066435189159,67.41875018244392
3164,887.8610658374719,5-10cm,1.4552473611108683,82.66992707792267
3164,887.8610658374719,5-10cm,2.0771573958325167,161.14784535365408
3164,887.8610658374719,5-10cm,2.152224305556328,171.86472318129543
3164,887.8610658374719,5-10cm,2.4379778356491415,215.46798239357872
3164,887.8610658374719,5-10cm,3.3819029745376774,401.974627060131
3164,887.8610658374719,5-10cm,3.9273046875,536.1563629677769
3164,887.8610658374719,5-10cm,4.078862164351675,576.0769687637841
3164,887.8610658374719,5-10cm,4.380515949074868,659.7288485077452
3164,887.8610658374719,5-10cm,4.927698912038295,829.8022679726088
3164,887.8610658374719,5-10cm,5.30120079861195,952.2472401777399
3164,887.8610658374719,5-10cm,5.374635381944201,977.9586122144057
3164,887.8610658374719,5-10cm,5.928018368054871,1187.281887348952
3164,887.8610658374719,5-10cm,6.078994618055445,1244.3045261188797
3164,887.8610658374719,5-10cm,6.153058043980488,1272.8372921273835
3164,887.8610658374719,5-10cm,6.301618842592946,1332.450178348459
3164,887.8610658374719,5-10cm,6.928209409722023,1608.4677429003875
3164,887.8610658374719,5-10cm,7.005539699075398,1640.9087121714358
3164,887.8610658374719,5-10cm,7.2924453935192695,1772.5350454969062
3164,887.8610658374719,5-10cm,7.383032118054452,1819.096511884031
3164,887.8610658374719,5-10cm,8.005374884260473,2128.1246135241017
3164,887.8610658374719,5-10cm,8.080553171295259,2165.3439475516266
3164,887.8610658374719,5-10cm,8.383129039351587,2330.821604652688
3164,887.8610658374719,5-10cm,8.92847819444482,2635.936368504482
3164,887.8610658374719,5-10cm,9.005480532408864,2675.5960016418253
3164,887.8610658374719,5-10cm,9.301186990740675,2845.6139241855913
3164,887.8610658374719,5-10cm,9.38343920138975,2903.387743075571
3164,887.8610658374719,5-10cm,9.928804409721936,3238.3871291070272
3164,887.8610658374719,5-10cm,10.08062793981422,3327.103227751102
